,0
"('Occupation', 'unique_count')",181
"('Occupation', 'value_counts')","{'Trader': 671, 'Farmer': 605, 'Not Specified': 288, 'Unemployed': 288, 'Seamstress': 243, 'Student': 210, 'Food vendor': 147, 'Hairdresser': 147, 'Okada': 133, 'Driver': 66, 'Teacher': 47, 'Factory worker': 43, 'Mason': 39, 'Simstress': 34, 'Tailor': 32, 'Carpenter': 25, 'Hair dresser': 18, 'Baker': 17, 'Mobile money merchant': 15, 'Business man': 14, 'Electrician': 14, 'Wood carver': 14, 'Pensioner': 12, 'Provision store': 11, 'Hunter': 10, 'Okada rider': 10, 'Mechanic': 10, 'Barber': 9, 'Carver': 9, 'Pensioneer': 9, 'Painter': 8, 'DJ': 8, 'Phone repairer': 8, 'Store keeper': 7, 'Banker': 7, 'Herbalist': 6, 'Shop assistant': 5, 'Repairer': 5, 'Engineer': 4, 'Pharmacist': 4, 'Corn mill worker': 4, 'Shoemaker': 4, 'Construction worker': 4, 'Footballer': 4, 'Galamsey': 4, 'Welder': 4, 'Hairdresser apprentice': 4, 'Contractor': 4, 'Sprayer': 3, 'Seamstress apprentice': 3, 'Chainsaw operator': 3, 'student': 3, 'Plumber': 3, 'Bar owner': 3, 'Boutique owner': 3, 'Voted': 3, 'Tiler': 2, 'Police': 2, 'Pen-tinier': 2, 'farmer': 2, 'Bar attendant': 2, 'Lottery worker': 2, 'Vognizer': 2, 'Food Vendor': 2, 'Yogurt seller': 2, 'Drug seller': 2, 'Corn mill': 2, 'Block layer': 2, 'Shop owner': 2, 'Health worker': 2, 'Company worker': 2, 'Pastor': 2, 'Nurse': 2, 'Electrical engineer': 2, 'Farmer and Okada': 2, 'Shoe maker': 2, 'Store assistant': 2, 'Shop assi': 1, 'Restaurant worker': 1, 'Tyler': 1, 'Steal bender': 1, 'Plaster of paris': 1, 'Factory work': 1, 'Environmental health officer': 1, 'Food processing': 1, 'Poultry farmer': 1, 'Business Man': 1, 'Blacksmith': 1, 'Electrical shop': 1, 'Petrol shell officer': 1, 'Caterer': 1, 'Bookshop owner': 1, 'Lotto worker': 1, 'Scrub': 1, 'Fabricator': 1, 'Hairdtesser apprentice': 1, 'Lottery': 1, 'P .O.P': 1, 'Aluminum facilitator': 1, 'Midwife': 1, 'Stoffing liner': 1, 'Bouquet': 1, 'Okada ridee': 1, 'Steel bender': 1, 'Provision': 1, 'Okaada': 1, 'Shoe marker': 1, 'business man': 1, 'trader': 1, 'engineer': 1, 'Electoral commissioner': 1, 'Tailor and factory': 1, 'Fry gari': 1, 'Haidresser': 1, 'Zoom Lion': 1, 'Sole proprietor': 1, 'Agriculturist': 1, 'Fashion designer': 1, 'Egg seller': 1, 'Meat seller': 1, 'Technician': 1, 'Designer': 1, 'Lottery staker': 1, 'Scraps collector': 1, 'Block seller': 1, 'Chief': 1, 'Teacher and farmer': 1, 'Telecel': 1, 'Facilitator': 1, 'Graphic designer': 1, 'Shop attendant': 1, 'Sand winning': 1, 'Pensioneer and trader': 1, 'Bicycle repairer': 1, 'Unemplyed': 1, 'Hairdersser': 1, 'banker': 1, 'Seanstress': 1, 'Sramstress': 1, 'seamstress': 1, 'Hardware': 1, 'Secretary': 1, 'Undertaker, trader': 1, 'Working': 1, 'MCE': 1, 'Okada and farmer': 1, 'Shop attention': 1, 'Hairdersser apprentice': 1, 'Susu collector': 1, 'Lottery worker,farmer': 1, 'Students': 1, 'Physician assistant': 1, 'Cassava miller': 1, 'Make up artist': 1, 'Butcher': 1, 'Petty trader': 1, 'Hairdressee': 1, 'Satelite installer': 1, 'barber': 1, 'Shoe doctor': 1, 'Security officer': 1, 'Business woman': 1, 'Fresh and dry worker': 1, 'Zoom lion': 1, 'Farmer and food vendor': 1, 'Waiter': 1, 'Medicine seller': 1, 'Auto Mechanic': 1, 'Lotto staker': 1, 'Operator': 1, 'Supplier': 1, 'Farmer , trader': 1, 'Fatmer': 1, 'Gardener': 1, 'Pharmacy': 1, 'Midwifery': 1, 'Electrian': 1, 'Retired teacher': 1, 'Sukrong Bethlehem': 1, 'IT specialist': 1, 'Palm wine tapper': 1}"
"('Occupation', 'top_5_values')","{'Trader': 671, 'Farmer': 605, 'Not Specified': 288, 'Unemployed': 288, 'Seamstress': 243}"
"('Voted_Last_Election', 'unique_count')",2
"('Voted_Last_Election', 'value_counts')","{'Yes': 2363, 'No': 1091}"
"('Voted_Last_Election', 'top_5_values')","{'Yes': 2363, 'No': 1091}"
"('Reason_Not_Voted', 'unique_count')",81
"('Reason_Not_Voted', 'value_counts')","{'No Response': 2566, 'I wasnÂ\x92t interested': 391, 'I had no transportation': 96, 'My name wasnÂ\x92t on the voter list': 70, 'Missing ID': 46, 'I didnÂ\x92t know where to vote': 35, 'Sick': 27, 'Travelled': 20, ""Couldn't transfer vote"": 14, 'I had no transportation, I wasnÂ\x92t interested': 13, 'Busy': 11, 'Was busy': 11, 'I travelled': 11, 'Missing ??': 9, 'Working': 8, 'I wasnÂ\x92t interested, My name wasnÂ\x92t on the voter list': 8, 'No ID': 7, 'Jehovah witness': 7, 'I wasnÂ\x92t interested, I didnÂ\x92t know where to vote': 7, 'Was sick': 6, 'Was busy with work': 6, 'I wasnÂ\x92t interested, Was busy': 4, 'I was sick': 4, 'Jehova witness': 3, 'I wasnÂ\x92t interested, Was busy with work': 3, 'Sickness': 3, 'I had no transportation, My name wasnÂ\x92t on the voter list': 3, 'Not Specified': 3, 'CouldnÂ\x92t transfer vote': 3, 'I donÂ\x92t have an ID card': 3, 'I was busy': 2, 'My name wasnÂ\x92t on the voter list, I didnÂ\x92t know where to vote': 2, 'I wasnÂ\x92t feeling well': 2, 'I had no transportation, I wasnÂ\x92t interested, My name wasnÂ\x92t on the voter list': 2, 'I had no transportation, I didnÂ\x92t know where to vote': 2, 'Nine': 1, ""Attended mothre's funeral"": 1, ""I don't know anything about it"": 1, 'DonÂ\x92t have an ID card': 1, 'His card was missing': 1, 'Jehovah witnesses': 1, 'I wasnÂ\x92t interested, Jehovah witness': 1, 'I didnÂ\x92t know where my ID card was': 1, 'I didnÂ\x92t like any of the parties': 1, 'Nothing': 1, ""Couldn't find her ID card"": 1, ""I misplaced my voter's ID card"": 1, 'I was tired': 1, 'I didnÂ\x92t like their policies': 1, 'DonÂ\x92t have a voterÂ\x92s card': 1, 'Other': 1, ""I wasnÂ\x92t interested, Don't get any thing from it"": 1, 'Not able to transfer vote': 1, 'I lost my ID card': 1, 'No ID card': 1, 'Not close to.pooling station': 1, 'DonÂ\x92t have ??': 1, 'Personal reasons': 1, 'I had no transportation, Funeral': 1, 'I wasnÂ\x92t interested, Nothing': 1, 'Wasnt in town': 1, 'Wansnt around': 1, 'I wasnÂ\x92t interested, Was busy with school': 1, 'I wasnÂ\x92t interested, Is a jehova witness': 1, 'Was ill': 1, 'Adventist': 1, 'Jehovah': 1, 'Jehover witness': 1, 'I traveled': 1, 'I wasnÂ\x92t interested, NPP didnt help': 1, 'All parties are the same': 1, 'They are not serious with the government': 1, 'busy': 1, 'Wasbt around': 1, 'Wasnt around': 1, 'For change': 1, 'NO ID': 1, 'Missing': 1, 'I wasnÂ\x92t interested, Adventist': 1, 'I had no transportation, Working': 1, 'WasnÂ\x92t busy': 1}"
"('Reason_Not_Voted', 'top_5_values')","{'No Response': 2566, 'I wasnÂ\x92t interested': 391, 'I had no transportation': 96, 'My name wasnÂ\x92t on the voter list': 70, 'Missing ID': 46}"
"('Reason_Voted_Candidate', 'unique_count')",91
"('Reason_Voted_Candidate', 'value_counts')","{'No Response': 1034, 'I liked their projects or promises': 711, 'I support their party': 592, 'I support their party, I liked their projects or promises': 379, 'For change': 211, 'I liked their projects or promises, They were active in the community': 97, 'They were active in the community': 74, 'I support their party, They were active in the community': 71, 'I support their party, For change': 43, 'For change and development': 41, 'I support their party, I liked their projects or promises, They were active in the community': 35, 'I liked their projects or promises, For change': 27, 'Change': 19, 'Not Specified': 10, 'I support their party, For change and development': 7, 'As a citizen': 6, 'For development': 4, 'For change, job creation': 3, 'change': 3, 'I support their party, For peace': 3, 'Low standard of living': 3, 'For peace': 3, 'I voted for change': 2, 'For cha': 2, 'I liked their projects or promises, For peace': 2, 'Job creation': 2, 'I support their party,': 2, 'Family member': 2, 'I liked their projects or promises, For change and development': 2, 'I liked their projects or promises, Change': 2, 'I support their party, Job creation': 2, 'I liked their projects or promises, We want gender neutral jobs': 1, 'We wanted change for the country': 1, 'I support their party, For change and job creation': 1, 'I liked their projects or promises, Convinced by a friend': 1, 'I wanted change': 1, 'I voted for him because I wanted change': 1, ""For the country's development"": 1, 'I support their party, Closely related': 1, 'I liked how they performed during their time of office': 1, ""I didn't vote for anyone"": 1, 'Peace': 1, 'I support their party, I wanted change': 1, 'I support their party, Peace': 1, 'I support their party, Forced by her father': 1, 'Voted for change': 1, 'I liked their projects or promises, Currency exchange': 1, 'I liked their projects or promises, Family member': 1, 'I support their party, Job cre': 1, 'Cost of living and for change': 1, 'I support their party, Job creation, For loans': 1, 'I support their party, For change and peace': 1, 'I liked their projects or promises, As a citizen': 1, 'For peace,for change': 1, 'For development and change': 1, 'I support their party, Cost of living': 1, 'Award': 1, 'I support their party, Family member': 1, 'Too much hardship and unemployment': 1, 'I support their party, For change,job creation': 1, 'I liked their projects or promises, For change, job creation': 1, 'We wanted change in government': 1, 'For low standard of living': 1, 'I support their party, We were born in to it': 1, 'I support their party, For chaMeg': 1, 'I liked their projects or promises, They were active in the community, For change and development': 1, 'Remove bet taxes': 1, 'I liked their projects or promises, For cha': 1, 'To remove betting tax': 1, 'I liked their projects or promises, For change , For peace': 1, 'Forced to vote': 1, 'I support their party, I liked their projects or promises, For change': 1, 'I liked their projects or promises, For chane': 1, 'For chnge': 1, 'Cost of living': 1, 'Breaking the chain of two party systems in Ghana': 1, 'I support their party, Better government': 1, 'Forced': 1, ""I liked their projects or promises, Job creation,they don't waste money"": 1, 'They were active in the community, For change': 1, 'Grandfather': 1, 'Previous performance': 1, 'I support their party, Job creation,for peace': 1, 'For peace,for change and development': 1, 'For change and development, for peace': 1, 'For peace, for change and development': 1, 'Job creation ,for change': 1, 'For change and Deb': 1, 'Economic hardship': 1, 'I liked their projects or promises, Got chan': 1, 'Got change': 1}"
