,0
"('Occupation', 'unique_count')",222
"('Occupation', 'value_counts')","{'Trader': 410, 'Farmer ': 310, 'Farmer': 295, 'Unknown': 288, 'Trader ': 260, 'Unemployed ': 240, 'Seamstress ': 211, 'Hairdresser ': 119, 'Student ': 113, 'Food vendor ': 104, 'Okada': 100, 'Student': 97, 'Unemployed': 48, 'Food vendor': 43, 'Driver ': 37, 'Simstress ': 33, 'Teacher ': 33, 'Okada ': 33, 'Seamstress': 32, 'Driver': 29, 'Mason': 28, 'Hairdresser': 28, 'Factory worker ': 27, 'Carpenter': 25, 'Hair dresser ': 18, 'Tailor ': 17, 'Factory worker': 16, 'Tailor': 15, 'Mobile money merchant ': 15, 'Teacher': 14, 'Business man': 13, 'Baker': 13, 'Wood carver': 13, 'Pensioner ': 12, 'Electrician ': 11, 'Mason ': 11, 'Provision store ': 11, 'Okada rider': 10, 'Pensioneer': 9, 'Carver ': 9, 'Mechanic ': 8, 'Store keeper ': 7, 'Phone repairer ': 7, 'DJ': 7, 'Hunter': 6, 'Shop assistant ': 5, 'Herbalist ': 5, 'Barber ': 5, 'Banker ': 5, 'Painter': 5, 'Corn mill worker ': 4, 'Repairer ': 4, 'Baker ': 4, 'Barber': 4, 'Construction worker ': 4, 'Shoemaker ': 4, 'Pharmacist ': 4, 'Hunter ': 4, 'Hairdresser apprentice': 4, 'Welder': 3, 'Boutique owner': 3, 'Seamstress apprentice': 3, 'Painter ': 3, 'Bar owner': 3, 'Sprayer ': 3, 'Contractor ': 3, 'Engineer': 3, 'student': 3, 'Electrician': 3, 'Chainsaw operator ': 3, 'Voted': 3, 'Pen-tinier': 2, 'Vognizer ': 2, 'Food Vendor': 2, 'Galamsey ': 2, 'Bar attendant ': 2, 'Footballer': 2, 'Electrical engineer ': 2, 'Lottery worker ': 2, 'Store assistant ': 2, 'Plumber': 2, 'Yogurt seller': 2, 'Tiler': 2, 'Police ': 2, 'Company worker ': 2, 'Galamsey': 2, 'Block layer': 2, 'Pastor': 2, 'Health worker ': 2, 'Footballer ': 2, 'Mechanic': 2, 'Banker': 2, 'Factory work': 1, 'Environmental health officer': 1, 'Welder ': 1, 'trader': 1, 'business man ': 1, 'engineer': 1, 'Sole proprietor ': 1, 'Drug seller': 1, 'Fry gari': 1, 'Electoral commissioner ': 1, 'Drug seller ': 1, 'Blacksmith ': 1, 'Poultry farmer': 1, 'Zoom Lion ': 1, 'Agriculturist ': 1, 'Haidresser': 1, 'Corn mill': 1, 'Tailor and factory ': 1, 'Business Man ': 1, 'Petrol shell officer ': 1, 'Shop assi': 1, 'Electrical shop': 1, 'Simstress': 1, 'Tyler ': 1, 'Restaurant worker ': 1, 'Plaster of paris': 1, 'Caterer ': 1, 'Food processing ': 1, 'Bookshop owner': 1, 'Shop owner': 1, 'Steal bender': 1, 'Midwife': 1, 'Lottery ': 1, 'Stoffing liner': 1, 'Graphic designer ': 1, 'Business man ': 1, 'Repairer': 1, 'Chief ': 1, 'Shoe maker': 1, 'Shop attendant ': 1, 'P .O.P': 1, 'Bouquet ': 1, 'Fabricator ': 1, 'Okada ridee': 1, 'Scraps collector ': 1, 'Facilitator ': 1, 'Block seller ': 1, 'Teacher and farmer ': 1, 'Corn mill ': 1, 'Telecel ': 1, 'Fashion designer ': 1, 'Egg seller ': 1, 'Meat seller ': 1, 'Technician ': 1, 'Designer ': 1, 'Shoe maker ': 1, 'Lottery staker': 1, 'Shop owner ': 1, 'Aluminum facilitator ': 1, 'Hairdtesser apprentice': 1, 'Scrub': 1, 'Lotto worker': 1, 'Provision ': 1, 'Steel bender ': 1, 'Okaada ': 1, 'Shoe marker ': 1, 'Working ': 1, 'Okada and farmer': 1, 'Sand winning ': 1, 'MCE ': 1, 'Hairdersser apprentice': 1, 'Shop attention ': 1, 'Pensioneer and trader': 1, 'Phone repairer': 1, 'Susu collector ': 1, 'Seanstress': 1, 'Unemplyed': 1, 'Hairdersser': 1, 'Nurse': 1, 'banker': 1, 'seamstress': 1, 'Bicycle repairer': 1, 'Cassava miller': 1, 'farmer ': 1, 'Students ': 1, 'Physician assistant ': 1, 'Wood carver ': 1, 'Hairdressee': 1, 'Farmer and food vendor': 1, 'Lottery worker,farmer': 1, 'Fresh and dry worker': 1, ' Trader ': 1, 'Sramstress': 1, 'Undertaker, trader': 1, 'Secretary ': 1, 'Make up artist': 1, 'Butcher ': 1, 'Hardware ': 1, 'Security officer': 1, ' barber ': 1, 'Satelite installer': 1, 'Farmer and Okada ': 1, 'Zoom lion': 1, 'farmer': 1, 'Petty trader ': 1, 'Contractor': 1, 'Waiter': 1, 'Medicine seller': 1, 'Fatmer': 1, 'Lotto staker': 1, 'Operator ': 1, 'Auto Mechanic ': 1, 'Business woman ': 1, 'Shoe doctor ': 1, 'Gardener ': 1, 'Farmer , trader ': 1, 'Supplier ': 1, 'Pharmacy ': 1, 'Nurse ': 1, 'Midwifery ': 1, 'Electrian': 1, 'Farmer and Okada': 1, 'Retired teacher ': 1, 'Sukrong Bethlehem': 1, 'IT specialist ': 1, 'DJ ': 1, 'Plumber ': 1, 'Engineer ': 1, 'Herbalist': 1, 'Palm wine tapper': 1}"
"('Occupation', 'top_5_values')","{'Trader': 410, 'Farmer ': 310, 'Farmer': 295, 'Unknown': 288, 'Trader ': 260}"
"('Voted_Last_Election', 'unique_count')",2
"('Voted_Last_Election', 'value_counts')","{'Yes': 2363, 'No': 1091}"
"('Voted_Last_Election', 'top_5_values')","{'Yes': 2363, 'No': 1091}"
"('Reason_Not_Voted', 'unique_count')",95
"('Reason_Not_Voted', 'value_counts')","{'No Response': 2566, 'I wasnÂ\x92t interested': 391, 'I had no transportation': 96, 'My name wasnÂ\x92t on the voter list': 70, 'I didnÂ\x92t know where to vote': 35, 'Missing ID ': 23, 'Missing ID': 21, 'Travelled ': 20, 'Sick ': 16, ""Couldn't transfer vote "": 13, 'I had no transportation, I wasnÂ\x92t interested': 13, 'Sick': 11, 'I travelled ': 11, 'Missing ?? ': 9, 'I wasnÂ\x92t interested, My name wasnÂ\x92t on the voter list': 8, 'Busy ': 7, 'I wasnÂ\x92t interested, I didnÂ\x92t know where to vote': 7, 'Was busy ': 7, 'Was busy with work': 6, 'Was sick': 6, 'Jehovah witness ': 6, 'Working ': 5, 'Was busy': 4, 'Busy': 4, 'No ID': 4, 'I wasnÂ\x92t interested, Was busy': 4, 'Jehova witness': 3, 'I wasnÂ\x92t interested, Was busy with work': 3, 'I had no transportation, My name wasnÂ\x92t on the voter list': 3, 'None ': 3, 'No ID ': 3, 'Working': 3, 'Sickness ': 2, 'I was sick ': 2, 'I had no transportation, I didnÂ\x92t know where to vote': 2, 'I had no transportation, I wasnÂ\x92t interested, My name wasnÂ\x92t on the voter list': 2, 'CouldnÂ\x92t transfer vote ': 2, 'I was sick': 2, 'I wasnÂ\x92t feeling well ': 2, 'My name wasnÂ\x92t on the voter list, I didnÂ\x92t know where to vote': 2, 'I donÂ\x92t have an ID card': 2, 'I was busy ': 2, 'His card was missing ': 1, 'Sickness': 1, ""Attended mothre's funeral"": 1, ""I don't know anything about it "": 1, 'DonÂ\x92t have an ID card': 1, 'Nothing ': 1, ""Couldn't find her ID card"": 1, 'Jehovah witnesses ': 1, 'I was tired': 1, 'I didnÂ\x92t like their policies ': 1, ""I misplaced my voter's ID card "": 1, 'Nine': 1, 'I lost my ID card ': 1, 'Not able to transfer vote': 1, ""I wasnÂ\x92t interested, Don't get any thing from it"": 1, 'I had no transportation, Funeral': 1, 'Personal reasons ': 1, 'Not close to.pooling station': 1, 'I wasnÂ\x92t interested, Jehovah witness ': 1, 'I didnÂ\x92t like any of the parties ': 1, 'I didnÂ\x92t know where my ID card was ': 1, 'Wansnt around': 1, 'Jehover witness ': 1, 'Wasnt in town': 1, 'I wasnÂ\x92t interested, Nothing': 1, 'I wasnÂ\x92t interested, Was busy with school ': 1, 'I wasnÂ\x92t interested, Is a jehova witness': 1, 'Was ill': 1, 'Other': 1, 'I donÂ\x92t have an ID card ': 1, 'DonÂ\x92t have a voterÂ\x92s card ': 1, 'Jehovah witness': 1, 'DonÂ\x92t have ?? ': 1, 'No ID card': 1, ""Couldn't transfer vote"": 1, 'Jehovah': 1, 'Adventist': 1, 'All parties are the same': 1, 'busy': 1, 'I traveled ': 1, 'I wasnÂ\x92t interested, NPP didnt help': 1, 'Wasnt around': 1, 'Wasbt around': 1, 'CouldnÂ\x92t transfer vote': 1, 'They are not serious with the government ': 1, 'NO ID ': 1, 'For change ': 1, 'Missing  ID': 1, 'Missing  ID ': 1, 'I wasnÂ\x92t interested, Adventist': 1, 'Missing ': 1, 'I had no transportation, Working': 1, 'WasnÂ\x92t busy ': 1}"
"('Reason_Not_Voted', 'top_5_values')","{'No Response': 2566, 'I wasnÂ\x92t interested': 391, 'I had no transportation': 96, 'My name wasnÂ\x92t on the voter list': 70, 'I didnÂ\x92t know where to vote': 35}"
"('Reason_Voted_Candidate', 'unique_count')",97
