Occupation,count
Trader,410
Farmer ,310
Farmer,295
Unknown,288
Trader ,260
Unemployed ,240
Seamstress ,211
Hairdresser ,119
Student ,113
Food vendor ,104
Okada,100
Student,97
Unemployed,48
Food vendor,43
Driver ,37
Simstress ,33
Teacher ,33
Okada ,33
Seamstress,32
Driver,29
Mason,28
Hairdresser,28
Factory worker ,27
Carpenter,25
Hair dresser ,18
Tailor ,17
Factory worker,16
Tailor,15
Mobile money merchant ,15
Teacher,14
Business man,13
Baker,13
Wood carver,13
Pensioner ,12
Electrician ,11
Mason ,11
Provision store ,11
Okada rider,10
Pensioneer,9
Carver ,9
Mechanic ,8
Store keeper ,7
Phone repairer ,7
DJ,7
Hunter,6
Shop assistant ,5
Herbalist ,5
Barber ,5
Banker ,5
Painter,5
Corn mill worker ,4
Repairer ,4
Baker ,4
Barber,4
Construction worker ,4
Shoemaker ,4
Pharmacist ,4
Hunter ,4
Hairdresser apprentice,4
Welder,3
Boutique owner,3
Seamstress apprentice,3
Painter ,3
Bar owner,3
Sprayer ,3
Contractor ,3
Engineer,3
student,3
Electrician,3
Chainsaw operator ,3
Voted,3
Pen-tinier,2
Vognizer ,2
Food Vendor,2
Galamsey ,2
Bar attendant ,2
Footballer,2
Electrical engineer ,2
Lottery worker ,2
Store assistant ,2
Plumber,2
Yogurt seller,2
Tiler,2
Police ,2
Company worker ,2
Galamsey,2
Block layer,2
Pastor,2
Health worker ,2
Footballer ,2
Mechanic,2
Banker,2
Factory work,1
Environmental health officer,1
Welder ,1
trader,1
business man ,1
engineer,1
Sole proprietor ,1
Drug seller,1
Fry gari,1
Electoral commissioner ,1
Drug seller ,1
Blacksmith ,1
Poultry farmer,1
Zoom Lion ,1
Agriculturist ,1
Haidresser,1
Corn mill,1
Tailor and factory ,1
Business Man ,1
Petrol shell officer ,1
Shop assi,1
Electrical shop,1
Simstress,1
Tyler ,1
Restaurant worker ,1
Plaster of paris,1
Caterer ,1
Food processing ,1
Bookshop owner,1
Shop owner,1
Steal bender,1
Midwife,1
Lottery ,1
Stoffing liner,1
Graphic designer ,1
Business man ,1
Repairer,1
Chief ,1
Shoe maker,1
Shop attendant ,1
P .O.P,1
Bouquet ,1
Fabricator ,1
Okada ridee,1
Scraps collector ,1
Facilitator ,1
Block seller ,1
Teacher and farmer ,1
Corn mill ,1
Telecel ,1
Fashion designer ,1
Egg seller ,1
Meat seller ,1
Technician ,1
Designer ,1
Shoe maker ,1
Lottery staker,1
Shop owner ,1
Aluminum facilitator ,1
Hairdtesser apprentice,1
Scrub,1
Lotto worker,1
Provision ,1
Steel bender ,1
Okaada ,1
Shoe marker ,1
Working ,1
Okada and farmer,1
Sand winning ,1
MCE ,1
Hairdersser apprentice,1
Shop attention ,1
Pensioneer and trader,1
Phone repairer,1
Susu collector ,1
Seanstress,1
Unemplyed,1
Hairdersser,1
Nurse,1
banker,1
seamstress,1
Bicycle repairer,1
Cassava miller,1
farmer ,1
Students ,1
Physician assistant ,1
Wood carver ,1
Hairdressee,1
Farmer and food vendor,1
"Lottery worker,farmer",1
Fresh and dry worker,1
 Trader ,1
Sramstress,1
"Undertaker, trader",1
Secretary ,1
Make up artist,1
Butcher ,1
Hardware ,1
Security officer,1
 barber ,1
Satelite installer,1
Farmer and Okada ,1
Zoom lion,1
farmer,1
Petty trader ,1
Contractor,1
Waiter,1
Medicine seller,1
Fatmer,1
Lotto staker,1
Operator ,1
Auto Mechanic ,1
Business woman ,1
Shoe doctor ,1
Gardener ,1
"Farmer , trader ",1
Supplier ,1
Pharmacy ,1
Nurse ,1
Midwifery ,1
Electrian,1
Farmer and Okada,1
Retired teacher ,1
Sukrong Bethlehem,1
IT specialist ,1
DJ ,1
Plumber ,1
Engineer ,1
Herbalist,1
Palm wine tapper,1
